City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,st. john's,47.5649,-52.7093,15.649999999999977,96,100,8.23,CA,1718049186
66,kingston,17.997,-76.7936,31.430000000000007,70,20,9.26,JM,1718049389
67,aasiaat,68.7098,-52.8699,0.7799999999999727,77,11,4.04,GL,1718049389
68,guarapari,-20.6667,-40.4975,23.50999999999999,77,98,3.84,BR,1718049390
69,baymak,52.5933,58.3225,16.430000000000007,87,3,2.55,RU,1718049390
70,shelbyville,35.4834,-86.4603,28.44999999999999,38,0,4.12,US,1718049205
71,ancud,-41.8697,-73.8203,11.079999999999984,93,96,6.47,CL,1718049390
72,katsuren-haebaru,26.3369,127.8719,25.120000000000005,95,40,8.75,JP,1718049391
73,itambe,-15.245,-40.6244,23.569999999999993,58,56,0.79,BR,1718049236
74,westport,41.1415,-73.3579,24.94999999999999,52,100,5.66,US,1718049391
75,newport,51.5877,-2.9984,14.240000000000009,65,7,6.22,GB,1718049391
76,port alfred,-33.5906,26.891,18.230000000000018,53,0,4.51,ZA,1718049299
77,carauari,-4.8828,-66.8958,29.930000000000007,65,100,1.22,BR,1718049392
78,graaff-reinet,-32.2522,24.5308,12.860000000000014,45,23,3.99,ZA,1718049341
79,vila franca do campo,37.7167,-25.4333,20.129999999999995,99,100,2.34,PT,1718048988
80,tralee,52.2704,-9.7026,10.779999999999973,81,56,2.8,IE,1718049393
81,belaya glina,46.07,40.86,19.579999999999984,81,100,1.62,RU,1718049126
82,jamestown,42.097,-79.2353,13.240000000000009,78,100,6.17,US,1718049393
83,manismata,-2.4667,111.0333,23.569999999999993,99,100,1.04,ID,1718049394
84,sungai penuh,-2.0833,101.3833,19.829999999999984,97,91,0.13,ID,1718049394
85,cururupu,-1.8283,-44.8683,27.70999999999998,75,89,1.49,BR,1718049394
86,gorontalo,0.5412,123.0595,22.980000000000018,97,50,0.91,ID,1718049395
87,ruteng,-8.6136,120.4721,15.420000000000016,98,42,0.93,ID,1718049395
88,manistee,44.2445,-86.3242,16.600000000000023,60,0,7.2,US,1718049395
89,avarua,-21.2078,-159.775,22.930000000000007,56,7,2.06,CK,1718049395
90,chonchi,-42.6128,-73.8092,11.45999999999998,90,99,4.19,CL,1718049396
91,badger,64.8,-147.5333,20.350000000000023,51,75,2.06,US,1718049396
92,puerto baquerizo moreno,-0.9,-89.6,25.44999999999999,73,40,9.26,EC,1718049396
93,kapa'a,22.0752,-159.319,27.889999999999986,78,75,7.2,US,1718049396
94,egilsstadir,65.2653,-14.3948,7.1299999999999955,80,67,3.99,IS,1718049397
95,midvagur,62.0511,-7.1939,5.360000000000014,81,100,9.77,FO,1718049397
96,fort mcmurray,56.7268,-111.381,13.670000000000016,87,100,1.54,CA,1718049284
97,toropets,56.4978,31.6353,16.430000000000007,72,100,0.83,RU,1718049398
98,longyearbyen,78.2186,15.6401,6.810000000000002,61,0,1.54,SJ,1718049398
99,pangoa,-12.1167,-73.0,29.870000000000005,44,27,1.96,PE,1718049398
100,utrik,11.2278,169.8474,28.360000000000014,76,38,8.28,MH,1718049398
101,indianola,41.3581,-93.5574,24.170000000000016,48,41,0.89,US,1718049158
102,ambodifotatra,-16.9833,49.85,23.079999999999984,81,46,8.44,MG,1718049399
103,hasaki,35.7333,140.8333,18.120000000000005,80,0,1.74,JP,1718049399
104,yuzhno-kurilsk,44.0306,145.8556,11.220000000000027,93,100,2.36,RU,1718049400
105,saldanha,-33.0117,17.9442,15.930000000000007,47,61,7.11,ZA,1718049400
106,kzyltu,53.6364,72.3414,16.0,91,99,8.67,KZ,1718049400
107,puerto piray,-26.4678,-54.7148,27.470000000000027,55,10,0.79,AR,1718049401
108,kristiansund,63.1115,7.732,11.079999999999984,82,75,5.14,NO,1718049401
109,nemuro,43.3236,145.575,10.240000000000009,100,100,3.86,JP,1718049401
110,sarandi del yi,-33.35,-55.6333,16.579999999999984,81,36,3.13,UY,1718049401
111,bure,10.7,37.0667,16.350000000000023,85,92,1.66,ET,1718049402
112,nagina,29.45,78.45,31.55000000000001,14,1,1.8,IN,1718049402
113,kani keli,-12.9536,45.1033,25.49000000000001,65,2,5.57,YT,1718049403
114,margaret river,-33.95,115.0667,15.730000000000018,61,100,6.21,AU,1718049403
115,panaba,21.2833,-88.2667,29.45999999999998,66,100,6.12,MX,1718049403
116,machico,32.7,-16.7667,21.410000000000025,75,75,4.12,PT,1718049404
117,kangding,30.0513,101.9603,14.689999999999998,99,100,1.78,CN,1718049404
118,malango,-2.9627,119.9001,18.329999999999984,99,74,1.14,ID,1718049404
119,ust-nera,64.5667,143.2,13.060000000000002,36,88,1.29,RU,1718049405
120,burang,30.25,81.1667,5.350000000000023,51,0,2.17,CN,1718049405
121,labe,11.3182,-12.2833,25.319999999999993,62,99,1.26,GN,1718049405
122,dunedin,-45.8742,170.5036,5.899999999999977,65,8,4.02,NZ,1718049277
123,piton saint-leu,-21.2196,55.3151,20.939999999999998,78,0,4.12,RE,1718049406
124,misratah,32.3754,15.0925,27.360000000000014,48,29,7.13,LY,1718049406
125,barah,13.7,30.3667,33.089999999999975,38,47,2.82,SD,1718049406
126,huarmey,-10.0681,-78.1522,21.089999999999975,71,27,4.93,PE,1718049407
127,tyrnava,64.7647,25.6523,11.889999999999986,90,100,1.72,FI,1718049407
